>>> start to training
MP-T Epoch [247/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [248/1000], Loss: nan, running time: 0:00:27.3
MP-T Epoch [249/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [250/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [251/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [252/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [253/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [254/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [255/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [256/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [257/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [258/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [259/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [260/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [261/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [262/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [263/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [264/1000], Loss: nan, running time: 0:00:27.2
MP-T Epoch [265/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [266/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [267/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [268/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [269/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [270/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [271/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [272/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [273/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [274/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [275/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [276/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [277/1000], Loss: nan, running time: 0:00:27.1
