>>> start to training
>>> start to training
MP-T Epoch [130/4000], Loss: 4.7807, running time: 0:02:57.5
MP-T Epoch [131/4000], Loss: 4.7790, running time: 0:02:56.6
MP-T Epoch [132/4000], Loss: 4.7836, running time: 0:02:58.2
MP-T Epoch [133/4000], Loss: 4.7810, running time: 0:02:57.1
MP-T Epoch [134/4000], Loss: 4.7765, running time: 0:02:56.6
MP-T Epoch [135/4000], Loss: 4.7822, running time: 0:02:57.5
MP-T Epoch [136/4000], Loss: 4.7817, running time: 0:02:57.7
MP-T Epoch [137/4000], Loss: 4.7772, running time: 0:02:56.7
MP-T Epoch [138/4000], Loss: 4.7848, running time: 0:02:58.6
MP-T Epoch [139/4000], Loss: 4.7836, running time: 0:02:56.0
MP-T Epoch [140/4000], Loss: 4.7823, running time: 0:02:58.0
MP-T Epoch [141/4000], Loss: 4.7841, running time: 0:02:56.4
MP-T Epoch [142/4000], Loss: 4.7811, running time: 0:02:56.5
MP-T Epoch [143/4000], Loss: 4.7788, running time: 0:02:56.5
MP-T Epoch [144/4000], Loss: 4.7862, running time: 0:02:57.5
MP-T Epoch [145/4000], Loss: 4.7771, running time: 0:02:57.8
MP-T Epoch [146/4000], Loss: 4.7794, running time: 0:02:56.7
MP-T Epoch [147/4000], Loss: 4.7788, running time: 0:02:57.9
MP-T Epoch [148/4000], Loss: 4.7745, running time: 0:02:57.2
MP-T Epoch [149/4000], Loss: 4.7797, running time: 0:02:57.2
MP-T Epoch [150/4000], Loss: 4.7774, running time: 0:02:57.2
MP-T Epoch [151/4000], Loss: 4.7752, running time: 0:02:56.8
MP-T Epoch [152/4000], Loss: 4.7751, running time: 0:02:56.0
MP-T Epoch [153/4000], Loss: 4.7789, running time: 0:02:56.9
MP-T Epoch [154/4000], Loss: 4.7791, running time: 0:02:57.8
MP-T Epoch [155/4000], Loss: 4.7778, running time: 0:02:57.0
MP-T Epoch [156/4000], Loss: 4.7786, running time: 0:02:57.3
MP-T Epoch [157/4000], Loss: 4.7779, running time: 0:02:57.5
MP-T Epoch [158/4000], Loss: 4.7746, running time: 0:02:57.3
MP-T Epoch [159/4000], Loss: 4.7807, running time: 0:02:59.0
MP-T Epoch [160/4000], Loss: 4.7804, running time: 0:02:58.7
MP-T Epoch [161/4000], Loss: 4.7757, running time: 0:02:57.5
MP-T Epoch [162/4000], Loss: 4.7748, running time: 0:02:57.6
MP-T Epoch [163/4000], Loss: 4.7807, running time: 0:02:58.2
MP-T Epoch [164/4000], Loss: 4.7748, running time: 0:02:56.0
MP-T Epoch [165/4000], Loss: 4.7750, running time: 0:02:55.6
MP-T Epoch [166/4000], Loss: 4.7782, running time: 0:02:56.5
MP-T Epoch [167/4000], Loss: 4.7762, running time: 0:02:57.3
MP-T Epoch [168/4000], Loss: 4.7764, running time: 0:02:57.4
MP-T Epoch [169/4000], Loss: 4.7774, running time: 0:02:57.4
MP-T Epoch [170/4000], Loss: 4.7764, running time: 0:02:57.9
MP-T Epoch [171/4000], Loss: 4.7772, running time: 0:02:56.4
MP-T Epoch [172/4000], Loss: 4.7729, running time: 0:02:57.5
MP-T Epoch [173/4000], Loss: 4.7744, running time: 0:02:57.9
MP-T Epoch [174/4000], Loss: 4.7719, running time: 0:02:57.5
MP-T Epoch [175/4000], Loss: 4.7738, running time: 0:02:58.0
MP-T Epoch [176/4000], Loss: 4.7768, running time: 0:02:56.5
MP-T Epoch [177/4000], Loss: 4.7684, running time: 0:02:57.1
MP-T Epoch [178/4000], Loss: 4.7760, running time: 0:02:57.6
MP-T Epoch [179/4000], Loss: 4.7735, running time: 0:02:57.9
MP-T Epoch [180/4000], Loss: 4.7724, running time: 0:02:57.8
MP-T Epoch [181/4000], Loss: 4.7730, running time: 0:02:58.5
MP-T Epoch [182/4000], Loss: 4.7735, running time: 0:02:57.8
MP-T Epoch [183/4000], Loss: 4.7757, running time: 0:02:58.3
MP-T Epoch [184/4000], Loss: 4.7673, running time: 0:02:56.9
MP-T Epoch [185/4000], Loss: 4.7738, running time: 0:02:57.3
MP-T Epoch [186/4000], Loss: 4.7712, running time: 0:02:56.6
MP-T Epoch [187/4000], Loss: 4.7764, running time: 0:02:56.2
MP-T Epoch [188/4000], Loss: 4.7749, running time: 0:02:56.4
MP-T Epoch [189/4000], Loss: 4.7703, running time: 0:02:57.2
MP-T Epoch [190/4000], Loss: 4.7741, running time: 0:02:57.5
MP-T Epoch [191/4000], Loss: 4.7747, running time: 0:02:57.1
MP-T Epoch [192/4000], Loss: 4.7699, running time: 0:02:57.0
MP-T Epoch [193/4000], Loss: 4.7742, running time: 0:02:56.7
MP-T Epoch [194/4000], Loss: 4.7732, running time: 0:02:57.6
MP-T Epoch [195/4000], Loss: 4.7721, running time: 0:02:57.2
MP-T Epoch [196/4000], Loss: 4.7724, running time: 0:02:57.8
MP-T Epoch [197/4000], Loss: 4.7680, running time: 0:02:57.6
MP-T Epoch [198/4000], Loss: 4.7716, running time: 0:02:58.5
MP-T Epoch [199/4000], Loss: 4.7683, running time: 0:02:58.0
MP-T Epoch [200/4000], Loss: 4.7687, running time: 0:02:56.5
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[200].pth
MP-T Epoch [201/4000], Loss: 4.7699, running time: 0:02:58.8
MP-T Epoch [202/4000], Loss: 4.7685, running time: 0:02:58.3
MP-T Epoch [203/4000], Loss: 4.7641, running time: 0:02:57.5
MP-T Epoch [204/4000], Loss: 4.7699, running time: 0:02:57.4
MP-T Epoch [205/4000], Loss: 4.7770, running time: 0:02:57.0
MP-T Epoch [206/4000], Loss: 4.7660, running time: 0:02:57.0
MP-T Epoch [207/4000], Loss: 4.7696, running time: 0:02:57.0
MP-T Epoch [208/4000], Loss: 4.7672, running time: 0:02:56.9
MP-T Epoch [209/4000], Loss: 4.7631, running time: 0:02:58.1
MP-T Epoch [210/4000], Loss: 4.7714, running time: 0:02:56.2
MP-T Epoch [211/4000], Loss: 4.7657, running time: 0:02:56.9
MP-T Epoch [212/4000], Loss: 4.7677, running time: 0:02:57.0
MP-T Epoch [213/4000], Loss: 4.7635, running time: 0:02:57.6
MP-T Epoch [214/4000], Loss: 4.7679, running time: 0:02:57.2
MP-T Epoch [215/4000], Loss: 4.7626, running time: 0:02:56.9
MP-T Epoch [216/4000], Loss: 4.7648, running time: 0:02:55.7
MP-T Epoch [217/4000], Loss: 4.7647, running time: 0:02:55.6
MP-T Epoch [218/4000], Loss: 4.7568, running time: 0:02:56.7
MP-T Epoch [219/4000], Loss: 4.7627, running time: 0:02:56.2
MP-T Epoch [220/4000], Loss: 4.7611, running time: 0:02:59.1
MP-T Epoch [221/4000], Loss: 4.7592, running time: 0:02:57.1
MP-T Epoch [222/4000], Loss: 4.7641, running time: 0:02:56.5
MP-T Epoch [223/4000], Loss: 4.7571, running time: 0:02:57.5
MP-T Epoch [224/4000], Loss: 4.7564, running time: 0:02:58.8
MP-T Epoch [225/4000], Loss: 4.7643, running time: 0:02:57.6
MP-T Epoch [226/4000], Loss: 4.7587, running time: 0:02:57.4
MP-T Epoch [227/4000], Loss: 4.7601, running time: 0:02:57.1
MP-T Epoch [228/4000], Loss: 4.7573, running time: 0:02:57.3
MP-T Epoch [229/4000], Loss: 4.7577, running time: 0:02:57.0
MP-T Epoch [230/4000], Loss: 4.7591, running time: 0:02:57.3
MP-T Epoch [231/4000], Loss: 4.7600, running time: 0:02:57.0
MP-T Epoch [232/4000], Loss: 4.7596, running time: 0:02:57.0
MP-T Epoch [233/4000], Loss: 4.7578, running time: 0:02:56.8
MP-T Epoch [234/4000], Loss: 4.7532, running time: 0:02:58.2
MP-T Epoch [235/4000], Loss: 4.7559, running time: 0:02:58.0
MP-T Epoch [236/4000], Loss: 4.7546, running time: 0:02:56.9
MP-T Epoch [237/4000], Loss: 4.7576, running time: 0:02:58.5
MP-T Epoch [238/4000], Loss: 4.7591, running time: 0:02:56.6
MP-T Epoch [239/4000], Loss: 4.7489, running time: 0:02:58.4
MP-T Epoch [240/4000], Loss: 4.7565, running time: 0:02:56.8
MP-T Epoch [241/4000], Loss: 4.7552, running time: 0:02:56.0
MP-T Epoch [242/4000], Loss: 4.7557, running time: 0:02:57.2
MP-T Epoch [243/4000], Loss: 4.7528, running time: 0:02:57.5
MP-T Epoch [244/4000], Loss: 4.7509, running time: 0:02:56.9
MP-T Epoch [245/4000], Loss: 4.7542, running time: 0:02:56.7
MP-T Epoch [246/4000], Loss: 4.7483, running time: 0:02:57.2
MP-T Epoch [247/4000], Loss: 4.7525, running time: 0:02:58.1
MP-T Epoch [248/4000], Loss: 4.7552, running time: 0:02:59.5
MP-T Epoch [249/4000], Loss: 4.7489, running time: 0:02:57.3
MP-T Epoch [250/4000], Loss: 4.7537, running time: 0:02:56.2
MP-T Epoch [251/4000], Loss: 4.7502, running time: 0:02:56.9
MP-T Epoch [252/4000], Loss: 4.7494, running time: 0:02:56.7
MP-T Epoch [253/4000], Loss: 4.7473, running time: 0:02:56.7
MP-T Epoch [254/4000], Loss: 4.7521, running time: 0:02:57.3
MP-T Epoch [255/4000], Loss: 4.7480, running time: 0:02:57.2
MP-T Epoch [256/4000], Loss: 4.7533, running time: 0:02:56.9
MP-T Epoch [257/4000], Loss: 4.7517, running time: 0:02:56.6
MP-T Epoch [258/4000], Loss: 4.7502, running time: 0:02:57.6
MP-T Epoch [259/4000], Loss: 4.7505, running time: 0:02:57.0
MP-T Epoch [260/4000], Loss: 4.7447, running time: 0:02:57.5
MP-T Epoch [261/4000], Loss: 4.7495, running time: 0:02:56.1
MP-T Epoch [262/4000], Loss: 4.7467, running time: 0:02:56.0
MP-T Epoch [263/4000], Loss: 4.7423, running time: 0:02:57.2
MP-T Epoch [264/4000], Loss: 4.7444, running time: 0:02:56.7
MP-T Epoch [265/4000], Loss: 4.7429, running time: 0:02:57.1
MP-T Epoch [266/4000], Loss: 4.7450, running time: 0:02:57.6
MP-T Epoch [267/4000], Loss: 4.7429, running time: 0:02:56.7
MP-T Epoch [268/4000], Loss: 4.7436, running time: 0:02:56.6
MP-T Epoch [269/4000], Loss: 4.7413, running time: 0:02:57.8
MP-T Epoch [270/4000], Loss: 4.7396, running time: 0:02:57.7
MP-T Epoch [271/4000], Loss: 4.7411, running time: 0:02:56.9
MP-T Epoch [272/4000], Loss: 4.7422, running time: 0:02:57.5
MP-T Epoch [273/4000], Loss: 4.7385, running time: 0:02:57.8
MP-T Epoch [274/4000], Loss: 4.7350, running time: 0:02:57.4
MP-T Epoch [275/4000], Loss: 4.7355, running time: 0:02:57.2
MP-T Epoch [276/4000], Loss: 4.7362, running time: 0:02:56.1
MP-T Epoch [277/4000], Loss: 4.7404, running time: 0:02:56.3
MP-T Epoch [278/4000], Loss: 4.7321, running time: 0:02:57.5
MP-T Epoch [279/4000], Loss: 4.7309, running time: 0:02:57.8
MP-T Epoch [280/4000], Loss: 4.7334, running time: 0:02:56.8
MP-T Epoch [281/4000], Loss: 4.7304, running time: 0:02:56.7
MP-T Epoch [282/4000], Loss: 4.7319, running time: 0:02:56.8
MP-T Epoch [283/4000], Loss: 4.7267, running time: 0:02:57.1
MP-T Epoch [284/4000], Loss: 4.7290, running time: 0:02:57.2
MP-T Epoch [285/4000], Loss: 4.7325, running time: 0:02:56.3
MP-T Epoch [286/4000], Loss: 4.7268, running time: 0:02:56.9
MP-T Epoch [287/4000], Loss: 4.7246, running time: 0:02:57.5
MP-T Epoch [288/4000], Loss: 4.7307, running time: 0:02:57.6
MP-T Epoch [289/4000], Loss: 4.7218, running time: 0:02:56.8
MP-T Epoch [290/4000], Loss: 4.7259, running time: 0:02:56.5
MP-T Epoch [291/4000], Loss: 4.7243, running time: 0:02:57.2
MP-T Epoch [292/4000], Loss: 4.7257, running time: 0:03:08.4
MP-T Epoch [293/4000], Loss: 4.7193, running time: 0:02:57.9
MP-T Epoch [294/4000], Loss: 4.7206, running time: 0:02:57.0
MP-T Epoch [295/4000], Loss: 4.7247, running time: 0:02:56.7
MP-T Epoch [296/4000], Loss: 4.7270, running time: 0:02:57.0
MP-T Epoch [297/4000], Loss: 4.7243, running time: 0:02:57.4
MP-T Epoch [298/4000], Loss: 4.7245, running time: 0:02:56.2
MP-T Epoch [299/4000], Loss: 4.7198, running time: 0:02:57.8
MP-T Epoch [300/4000], Loss: 4.7240, running time: 0:02:58.3
MP-T Epoch [301/4000], Loss: 4.7172, running time: 0:02:57.5
MP-T Epoch [302/4000], Loss: 4.7209, running time: 0:02:57.2
MP-T Epoch [303/4000], Loss: 4.7202, running time: 0:02:56.8
MP-T Epoch [304/4000], Loss: 4.7151, running time: 0:02:58.2
MP-T Epoch [305/4000], Loss: 4.7166, running time: 0:02:57.2
MP-T Epoch [306/4000], Loss: 4.7096, running time: 0:02:56.3
MP-T Epoch [307/4000], Loss: 4.7154, running time: 0:02:57.4
MP-T Epoch [308/4000], Loss: 4.7166, running time: 0:02:57.1
MP-T Epoch [309/4000], Loss: 4.7190, running time: 0:02:57.8
MP-T Epoch [310/4000], Loss: 4.7132, running time: 0:02:56.7
MP-T Epoch [311/4000], Loss: 4.7147, running time: 0:02:56.9
MP-T Epoch [312/4000], Loss: 4.7127, running time: 0:02:56.6
MP-T Epoch [313/4000], Loss: 4.7103, running time: 0:02:57.5
MP-T Epoch [314/4000], Loss: 4.7184, running time: 0:02:59.2
MP-T Epoch [315/4000], Loss: 4.7119, running time: 0:02:58.3
MP-T Epoch [316/4000], Loss: 4.7163, running time: 0:02:58.1
MP-T Epoch [317/4000], Loss: 4.7125, running time: 0:02:56.6
MP-T Epoch [318/4000], Loss: 4.7096, running time: 0:02:57.1
MP-T Epoch [319/4000], Loss: 4.7066, running time: 0:02:57.6
MP-T Epoch [320/4000], Loss: 4.7081, running time: 0:02:55.6
MP-T Epoch [321/4000], Loss: 4.7140, running time: 0:03:00.3
MP-T Epoch [322/4000], Loss: 4.7099, running time: 0:02:56.9
MP-T Epoch [323/4000], Loss: 4.7154, running time: 0:02:58.1
MP-T Epoch [324/4000], Loss: 4.7106, running time: 0:02:59.0
MP-T Epoch [325/4000], Loss: 4.7076, running time: 0:02:56.5
MP-T Epoch [326/4000], Loss: 4.7127, running time: 0:02:57.2
MP-T Epoch [327/4000], Loss: 4.7056, running time: 0:02:57.4
MP-T Epoch [328/4000], Loss: 4.7068, running time: 0:02:56.7
MP-T Epoch [329/4000], Loss: 4.7031, running time: 0:02:57.2
MP-T Epoch [330/4000], Loss: 4.7069, running time: 0:02:57.4
MP-T Epoch [331/4000], Loss: 4.7101, running time: 0:02:56.9
MP-T Epoch [332/4000], Loss: 4.7053, running time: 0:02:57.0
MP-T Epoch [333/4000], Loss: 4.7051, running time: 0:02:57.1
MP-T Epoch [334/4000], Loss: 4.7064, running time: 0:02:57.1
MP-T Epoch [335/4000], Loss: 4.7091, running time: 0:02:57.1
MP-T Epoch [336/4000], Loss: 4.7117, running time: 0:02:57.3
MP-T Epoch [337/4000], Loss: 4.7049, running time: 0:03:01.4
MP-T Epoch [338/4000], Loss: 4.7077, running time: 0:02:57.4
MP-T Epoch [339/4000], Loss: 4.7046, running time: 0:02:57.0
MP-T Epoch [340/4000], Loss: 4.7064, running time: 0:02:56.3
MP-T Epoch [341/4000], Loss: 4.7061, running time: 0:02:56.9
MP-T Epoch [342/4000], Loss: 4.7027, running time: 0:02:56.7
MP-T Epoch [343/4000], Loss: 4.7043, running time: 0:02:56.7
MP-T Epoch [344/4000], Loss: 4.6993, running time: 0:02:56.6
MP-T Epoch [345/4000], Loss: 4.7019, running time: 0:02:56.3
MP-T Epoch [346/4000], Loss: 4.7040, running time: 0:02:57.2
MP-T Epoch [347/4000], Loss: 4.7022, running time: 0:02:56.8
MP-T Epoch [348/4000], Loss: 4.6999, running time: 0:02:57.7
MP-T Epoch [349/4000], Loss: 4.6963, running time: 0:02:56.1
MP-T Epoch [350/4000], Loss: 4.6982, running time: 0:02:56.6
MP-T Epoch [351/4000], Loss: 4.6993, running time: 0:02:58.2
MP-T Epoch [352/4000], Loss: 4.6958, running time: 0:02:58.9
MP-T Epoch [353/4000], Loss: 4.7006, running time: 0:02:57.7
MP-T Epoch [354/4000], Loss: 4.6980, running time: 0:02:57.6
MP-T Epoch [355/4000], Loss: 4.6995, running time: 0:02:56.8
MP-T Epoch [356/4000], Loss: 4.6991, running time: 0:02:56.5
MP-T Epoch [357/4000], Loss: 4.6957, running time: 0:02:56.4
MP-T Epoch [358/4000], Loss: 4.6931, running time: 0:02:57.8
MP-T Epoch [359/4000], Loss: 4.6939, running time: 0:02:56.8
MP-T Epoch [360/4000], Loss: 4.6999, running time: 0:03:00.3
MP-T Epoch [361/4000], Loss: 4.6943, running time: 0:02:56.9
MP-T Epoch [362/4000], Loss: 4.6918, running time: 0:02:56.9
MP-T Epoch [363/4000], Loss: 4.6950, running time: 0:02:57.4
MP-T Epoch [364/4000], Loss: 4.6883, running time: 0:02:56.8
MP-T Epoch [365/4000], Loss: 4.6970, running time: 0:03:01.6
MP-T Epoch [366/4000], Loss: 4.6967, running time: 0:03:04.4
MP-T Epoch [367/4000], Loss: 4.6923, running time: 0:02:57.4
MP-T Epoch [368/4000], Loss: 4.6903, running time: 0:02:58.5
MP-T Epoch [369/4000], Loss: 4.6919, running time: 0:02:56.7
MP-T Epoch [370/4000], Loss: 4.6904, running time: 0:02:57.1
MP-T Epoch [371/4000], Loss: 4.6964, running time: 0:02:58.2
MP-T Epoch [372/4000], Loss: 4.6983, running time: 0:02:57.5
MP-T Epoch [373/4000], Loss: 4.6924, running time: 0:02:57.4
MP-T Epoch [374/4000], Loss: 4.6889, running time: 0:02:58.0
MP-T Epoch [375/4000], Loss: 4.6875, running time: 0:02:57.0
